customer_id,gender,age,payment_method
C158160,Male,22,Cash
C552345,Male,53,Cash
C218383,Female,52,Cash
C309438,Male,26,Cash
C253905,Male,66,Cash
C992677,Male,65,Debit Card
C584700,Female,43,Cash
C157070,Female,,Debit Card
C177975,Female,,Debit Card
C830576,Female,,Debit Card
C807389,Female,,Debit Card
C277842,Female,,Debit Card
C183011,Male,62,Credit Card
C567813,Male,39,Cash
C282974,Female,33,Cash
C181972,Female,26,Debit Card
C189493,Male,43,Credit Card
C242748,Female,40,Debit Card
C324683,Male,55,Credit Card
C307921,Female,24,Credit Card
C152549,Male,24,Cash
C111832,Female,30,Credit Card
C204174,Male,34,Credit Card
C279370,Female,64,Cash
C907582,Female,57,Cash
C166635,Male,18,Credit Card
C276043,Female,26,Cash
C282643,Female,19,Debit Card
C820515,Female,22,Cash
C331761,Male,48,Cash
C326893,Female,56,Cash
C306395,Male,35,Cash
C885344,Female,60,Debit Card
C112750,Female,32,Credit Card
C274870,Male,27,Credit Card
C199864,Female,56,Credit Card
C997380,Male,35,Debit Card
C132002,Female,68,Credit Card
C255058,Female,64,Cash
C271799,Female,60,Cash
C765620,Male,64,Debit Card
C891545,Female,41,Debit Card
C519513,Male,30,Cash
C125624,Male,40,Debit Card
C658980,Female,29,Cash
C319231,Male,25,Cash
C150594,Female,60,Cash
C846730,Female,42,Cash
C249877,Male,54,Cash
C200826,Female,50,Cash
C263874,Male,54,Debit Card
C663463,Female,45,Cash
C134370,Female,40,Credit Card
C310642,Male,24,Credit Card
C651699,Male,40,Cash
C989693,Female,32,Credit Card
C123581,Female,28,Cash
C192446,Female,22,Cash
C143343,Female,21,Credit Card
C223343,Female,31,Credit Card
C309082,Female,61,Credit Card
C236365,Female,67,Cash
C178734,Male,52,Cash
C223010,Male,44,Credit Card
C289933,Female,48,Credit Card
C340116,Female,53,Cash
C816586,Male,27,Cash
C434171,Female,28,Cash
C215384,Female,43,Credit Card
C143442,Male,54,Credit Card
C102926,Male,41,Credit Card
C340063,Female,59,Cash
C131786,Female,32,Credit Card
C194380,Female,41,Credit Card
C269623,Female,30,Debit Card
C847171,Male,22,Debit Card
C556552,Female,51,Cash
C876528,Female,23,Credit Card
C303493,Male,40,Cash
C978718,Male,37,Cash
C111766,Female,24,Cash
C175946,Male,22,Credit Card
C160005,Female,61,Cash
C599109,Female,25,Credit Card
C693789,Female,66,Credit Card
C259342,Female,59,Cash
C208108,Male,38,Cash
C244213,Male,34,Debit Card
C102685,Female,26,Cash
C244291,Female,59,Cash
C162371,Female,53,Debit Card
C375422,Male,23,Debit Card
C911768,Female,23,Credit Card
C270129,Female,66,Debit Card
C617189,Female,56,Cash
C271029,Female,38,Credit Card
C292356,Male,28,Cash
C329633,Female,44,Cash
C244780,Female,26,Cash
C139568,Female,41,Credit Card
C220281,Male,50,Cash
C311034,Female,23,Cash
C584141,Female,31,Cash
C221934,Male,26,Credit Card
C513561,Female,56,Cash
C257990,Female,34,Cash
C168348,Female,29,Cash
C161285,Female,20,Credit Card
C166191,Female,54,Credit Card
C172966,Male,40,Debit Card
C320928,Male,40,Cash
C131497,Male,21,Cash
C526660,Female,32,Cash
C266961,Male,47,Credit Card
C204741,Female,41,Cash
C181619,Male,33,Cash
C250395,Female,67,Credit Card
C322994,Male,37,Cash
C250673,Female,38,Cash
C192978,Male,28,Credit Card
C163033,Female,38,Credit Card
C558480,Female,56,Credit Card
C287409,Male,25,Debit Card
C993675,Male,66,Cash
C307535,Female,37,Credit Card
C238961,Female,19,Cash
C671866,Female,53,Cash
C171154,Female,69,Cash
C848969,Male,69,Cash
C240171,Female,31,Debit Card
C665777,Male,39,Cash
C256730,Male,53,Cash
C298229,Male,26,Cash
C183404,Male,63,Cash
C316398,Female,34,Cash
C557245,Male,25,Debit Card
C662958,Female,20,Cash
C545065,Female,18,Debit Card
C284679,Male,53,Credit Card
C581947,Male,46,Cash
C199311,Female,34,Credit Card
C206501,Female,61,Cash
C726021,Female,38,Credit Card
C448846,Female,67,Cash
C168663,Male,33,Credit Card
C616106,Female,63,Debit Card
C771066,Female,21,Debit Card
C101196,Female,41,Debit Card
C898405,Female,48,Credit Card
C372643,Male,27,Debit Card
C195626,Female,22,Credit Card
C622748,Female,54,Credit Card
C290280,Female,51,Cash
C281268,Female,29,Debit Card
C826744,Female,44,Credit Card
C252021,Female,20,Credit Card
C647656,Female,59,Cash
C250065,Female,23,Credit Card
C230766,Female,25,Credit Card
C243515,Male,63,Cash
C204632,Male,21,Debit Card
C252598,Female,56,Credit Card
C866033,Male,39,Credit Card
C288416,Male,50,Credit Card
C340089,Female,54,Debit Card
C555040,Male,27,Credit Card
C809281,Male,56,Credit Card
C375325,Female,53,Cash
C155335,Female,62,Credit Card
C225051,Female,42,Credit Card
C635016,Female,68,Credit Card
C165705,Male,27,Cash
C709571,Male,39,Cash
C851508,Male,44,Debit Card
C184126,Female,52,Debit Card
C233642,Female,19,Cash
C258410,Female,68,Credit Card
C270667,Male,22,Cash
C321527,Male,61,Cash
C109489,Male,23,Credit Card
C103824,Male,34,Debit Card
C126571,Female,33,Debit Card
C169676,Female,60,Credit Card
C321889,Female,24,Debit Card
C212128,Male,53,Debit Card
C301271,Male,22,Credit Card
C221995,Male,50,Cash
C318802,Male,49,Credit Card
C263812,Male,31,Debit Card
C321609,Male,29,Cash
C666013,Female,52,Credit Card
C172185,Female,67,Cash
C150463,Female,50,Cash
C274529,Female,58,Cash
C242659,Female,50,Debit Card
C194451,Female,68,Credit Card
C252600,Female,59,Credit Card
C309645,Female,66,Cash
C336232,Male,69,Cash
C325906,Male,27,Cash
C138755,Female,52,Credit Card
C296745,Female,27,Cash
C221838,Female,43,Credit Card
C104985,Male,36,Cash
C826514,Female,19,Cash
C267333,Male,21,Cash
C130479,Male,20,Cash
C310108,Female,23,Debit Card
C358486,Female,52,Cash
C208738,Male,24,Credit Card
C111056,Female,20,Credit Card
C999586,Male,58,Credit Card
C296862,Male,21,Debit Card
C101550,Male,35,Cash
C278142,Female,29,Cash
C330779,Male,68,Credit Card
C282968,Female,50,Debit Card
C852668,Female,44,Cash
C274936,Female,47,Cash
C269751,Female,48,Cash
C136051,Female,39,Credit Card
C266462,Male,27,Cash
C329163,Female,34,Cash
C305398,Female,65,Cash
C267961,Female,53,Cash
C101248,Female,19,Credit Card
C165812,Female,19,Cash
C339518,Female,31,Credit Card
C235057,Female,43,Cash
C103944,Male,42,Credit Card
C260889,Male,58,Credit Card
C207753,Female,34,Debit Card
C204154,Female,32,Debit Card
C290344,Male,27,Credit Card
C730395,Female,28,Credit Card
C312155,Male,55,Credit Card
C259743,Female,48,Cash
C605200,Female,46,Credit Card
C317850,Female,20,Cash
C986860,Male,39,Credit Card
C236428,Male,44,Credit Card
C278588,Female,35,Debit Card
C154184,Male,48,Credit Card
C287459,Female,22,Credit Card
C617884,Female,52,Debit Card
C294024,Male,45,Debit Card
C790567,Male,64,Credit Card
C799447,Male,38,Credit Card
C144628,Female,45,Cash
C260810,Female,41,Cash
C670524,Female,57,Cash
C334281,Male,57,Debit Card
C314173,Female,60,Credit Card
C122712,Female,44,Debit Card
C276111,Male,38,Cash
C277924,Male,65,Credit Card
C286466,Male,30,Debit Card
C327001,Female,50,Debit Card
C509924,Female,19,Credit Card
C453635,Male,26,Debit Card
C259539,Female,54,Credit Card
C729392,Female,63,Credit Card
C280085,Female,66,Debit Card
C767634,Female,48,Debit Card
C230018,Male,46,Debit Card
C238063,Male,54,Cash
C308584,Male,62,Cash
C216619,Female,64,Credit Card
C241523,Male,55,Cash
C209761,Female,20,Credit Card
C329153,Male,41,Credit Card
C126702,Male,54,Credit Card
C287787,Male,34,Cash
C142943,Female,31,Cash
C100484,Male,48,Cash
C260213,Female,44,Debit Card
C210589,Female,42,Credit Card
C885556,Male,25,Credit Card
C944366,Male,64,Cash
C462011,Female,67,Cash
C262366,Female,55,Cash
C212400,Female,62,Credit Card
C204307,Female,54,Credit Card
C162871,Female,43,Credit Card
C119825,Female,30,Cash
C260171,Female,58,Debit Card
C244973,Male,49,Credit Card
C208765,Female,49,Cash
C321053,Female,19,Debit Card
C183356,Female,58,Debit Card
C155763,Female,49,Credit Card
C567509,Female,50,Cash
C486241,Female,21,Cash
C306892,Male,21,Cash
C266819,Male,63,Credit Card
C317897,Male,30,Credit Card
C545424,Male,66,Credit Card
C224223,Female,23,Cash
C286181,Female,69,Cash
C144371,Female,45,Credit Card
C402433,Male,53,Credit Card
C297425,Female,50,Cash
C222906,Female,45,Debit Card
C236397,Female,47,Debit Card
C309079,Female,36,Debit Card
C116633,Female,61,Cash
C259606,Female,46,Credit Card
C333065,Male,47,Debit Card
C211494,Female,38,Cash
C302831,Female,41,Credit Card
C282397,Male,29,Cash
C233697,Female,58,Credit Card
C129976,Male,69,Debit Card
C812053,Female,53,Cash
C324783,Male,26,Cash
C281502,Male,53,Cash
C433234,Female,63,Credit Card
C167183,Female,54,Credit Card
C311195,Female,54,Debit Card
C107399,Male,45,Credit Card
C992967,Female,62,Credit Card
C246719,Female,18,Credit Card
C220859,Female,44,Credit Card
C285422,Male,50,Cash
C217049,Male,31,Credit Card
C141094,Male,62,Cash
C310628,Female,20,Debit Card
C297711,Female,65,Cash
C211354,Female,63,Cash
C281864,Female,57,Cash
C234177,Female,59,Debit Card
C335822,Female,44,Debit Card
C107261,Female,63,Credit Card
C653357,Male,65,Cash
C327084,Female,68,Cash
C218706,Female,21,Debit Card
C321931,Female,33,Credit Card
C403983,Female,23,Cash
C137912,Female,49,Cash
C229733,Male,57,Credit Card
C304835,Female,54,Credit Card
C124933,Female,41,Credit Card
C111115,Female,21,Cash
C248988,Female,45,Debit Card
C162574,Female,58,Credit Card
C331880,Male,53,Cash
C291911,Female,53,Credit Card
C153958,Male,39,Debit Card
C125209,Female,21,Cash
C320640,Female,51,Credit Card
C803666,Male,50,Debit Card
C134691,Female,50,Cash
C729802,Male,61,Cash
C252250,Male,44,Credit Card
C208545,Female,31,Debit Card
C310975,Male,64,Credit Card
C109758,Male,50,Credit Card
C214463,Male,45,Credit Card
C387164,Female,29,Debit Card
C135196,Female,33,Cash
C284031,Male,29,Cash
C259260,Male,65,Credit Card
C109593,Female,66,Cash
C270238,Male,54,Credit Card
C308978,Male,44,Credit Card
C221607,Male,46,Cash
C115148,Male,37,Cash
C253248,Female,22,Credit Card
C290760,Female,55,Cash
C258089,Male,41,Cash
C222102,Male,42,Credit Card
C209440,Male,24,Credit Card
C203263,Female,43,Cash
C232103,Male,40,Credit Card
C213360,Female,22,Cash
C225105,Female,27,Cash
C158124,Female,68,Credit Card
C246484,Female,48,Credit Card
C197019,Female,56,Cash
C947114,Male,25,Debit Card
C115431,Male,30,Cash
C266394,Female,49,Credit Card
C122371,Male,57,Credit Card
C736428,Female,46,Cash
C127339,Male,29,Cash
C164662,Female,69,Debit Card
C248884,Female,42,Debit Card
C100684,Female,38,Credit Card
C240688,Female,46,Debit Card
C246364,Male,31,Debit Card
C195413,Male,26,Cash
C197308,Female,48,Cash
C264767,Male,30,Credit Card
C299172,Male,56,Cash
C994327,Male,65,Cash
C337644,Female,53,Credit Card
C175449,Female,43,Cash
C249092,Male,26,Cash
C432132,Male,23,Debit Card
C289802,Female,54,Credit Card
C194330,Male,56,Cash
C127945,Female,37,Cash
C202057,Male,48,Debit Card
C315209,Male,56,Debit Card
C323605,Female,58,Cash
C282395,Female,40,Credit Card
C109491,Female,38,Debit Card
C261194,Female,40,Credit Card
C232330,Male,64,Cash
C737782,Male,28,Debit Card
C123201,Male,49,Debit Card
C230641,Male,51,Cash
C805154,Male,22,Credit Card
C330021,Female,67,Debit Card
C107668,Female,22,Credit Card
C209722,Female,26,Cash
C210614,Female,42,Debit Card
C212378,Female,45,Credit Card
C313586,Female,43,Credit Card
C292604,Female,35,Debit Card
C216257,Male,49,Credit Card
C272779,Female,49,Cash
C100507,Male,33,Cash
C190072,Female,65,Cash
C111827,Male,40,Cash
C203955,Male,68,Cash
C680169,Female,26,Cash
C281091,Male,38,Debit Card
C209122,Female,56,Credit Card
C231964,Male,19,Cash
C291641,Female,18,Cash
C315386,Male,55,Credit Card
C290158,Female,53,Cash
C226218,Female,69,Cash
C633946,Male,27,Cash
C118742,Female,36,Cash
C218295,Female,61,Debit Card
C636874,Female,43,Credit Card
C310472,Female,51,Credit Card
C119440,Male,38,Credit Card
C230305,Male,34,Debit Card
C197131,Male,23,Credit Card
C278721,Male,56,Credit Card
C247868,Male,60,Credit Card
C834257,Female,59,Cash
C242041,Male,43,Credit Card
C892871,Male,55,Cash
C280596,Male,40,Cash
C703073,Female,43,Credit Card
C282097,Male,59,Credit Card
C179726,Male,24,Debit Card
C838282,Female,63,Credit Card
C181939,Male,31,Cash
C755148,Female,69,Credit Card
C282107,Female,36,Credit Card
C102560,Female,54,Cash
C229670,Male,22,Cash
C269986,Male,39,Cash
C191300,Male,26,Debit Card
C167158,Male,44,Credit Card
C318225,Female,35,Debit Card
C101108,Female,66,Debit Card
C103073,Male,61,Cash
C299787,Female,30,Credit Card
C555827,Male,55,Debit Card
C992695,Female,22,Debit Card
C178176,Female,51,Debit Card
C211245,Male,53,Cash
C139231,Female,54,Credit Card
C339339,Male,34,Credit Card
C321993,Female,49,Credit Card
C226519,Female,41,Cash
C715684,Female,34,Credit Card
C328195,Female,59,Cash
C284366,Female,20,Cash
C354398,Female,23,Cash
C317063,Female,25,Credit Card
C156360,Female,63,Debit Card
C474896,Male,68,Credit Card
C140082,Male,58,Debit Card
C240510,Male,58,Debit Card
C292758,Male,47,Credit Card
C222262,Female,22,Credit Card
C130016,Female,51,Credit Card
C305749,Male,56,Cash
C316261,Male,33,Cash
C178487,Male,27,Debit Card
C205731,Male,50,Cash
C171122,Female,49,Cash
C266021,Female,52,Cash
C576719,Male,54,Cash
C254022,Male,19,Credit Card
C121489,Female,49,Debit Card
C211545,Female,44,Credit Card
C245349,Male,69,Credit Card
C644605,Female,41,Debit Card
C293936,Female,25,Cash
C387282,Female,51,Cash
C405837,Female,53,Cash
C193298,Female,20,Credit Card
C363987,Male,62,Cash
C995929,Female,30,Debit Card
C236969,Female,47,Cash
C145797,Male,40,Credit Card
C241450,Female,35,Credit Card
C196296,Female,41,Cash
C306908,Female,48,Cash
C141984,Male,26,Cash
C720642,Female,27,Cash
C270638,Female,26,Debit Card
C858536,Female,65,Credit Card
C289573,Female,25,Credit Card
C122094,Female,19,Credit Card
C162986,Male,21,Credit Card
C271881,Female,61,Cash
C214260,Female,65,Debit Card
C209210,Female,23,Credit Card
C296477,Male,42,Cash
C134069,Male,33,Credit Card
C241442,Female,54,Credit Card
C312418,Female,67,Credit Card
C127004,Female,41,Cash
C198868,Female,57,Cash
C173860,Female,35,Cash
C186098,Male,62,Cash
C285261,Male,26,Cash
C214662,Male,48,Cash
C163444,Female,57,Cash
C533520,Female,53,Cash
C339565,Male,58,Cash
C202977,Female,32,Credit Card
C237063,Female,23,Cash
C108497,Female,49,Cash
C219299,Female,26,Credit Card
C247547,Female,62,Credit Card
C190917,Male,30,Cash
C337220,Female,28,Credit Card
C217919,Female,65,Debit Card
C112544,Female,56,Credit Card
C168912,Female,40,Cash
C279747,Male,55,Credit Card
C249401,Female,61,Credit Card
C128618,Female,35,Cash
C182105,Female,37,Cash
C331127,Male,32,Cash
C286564,Female,68,Debit Card
C188064,Female,44,Cash
C293329,Female,61,Credit Card
C113739,Male,38,Cash
C836254,Female,66,Credit Card
C245894,Female,53,Cash
C144894,Female,21,Credit Card
C190794,Male,61,Cash
C142508,Female,32,Debit Card
C135555,Female,46,Cash
C501563,Male,25,Cash
C152590,Female,49,Credit Card
C772839,Female,26,Cash
C623421,Female,40,Credit Card
C222949,Female,20,Credit Card
C133451,Female,38,Cash
C195342,Female,63,Cash
C336400,Male,25,Credit Card
C175833,Female,19,Cash
C246602,Female,53,Cash
C329003,Female,51,Cash
C270340,Male,56,Credit Card
C330141,Male,29,Cash
C121707,Female,20,Debit Card
C112452,Female,35,Credit Card
C269710,Female,62,Cash
C297610,Female,32,Cash
C319935,Male,48,Cash
C785507,Male,43,Debit Card
C217834,Female,57,Credit Card
C709370,Male,33,Cash
C216369,Female,49,Cash
C322689,Female,29,Cash
C146203,Female,43,Credit Card
C611809,Female,36,Credit Card
C210236,Female,59,Cash
C297118,Female,31,Credit Card
C180586,Female,51,Debit Card
C314705,Male,27,Cash
C272419,Female,62,Credit Card
C282520,Male,44,Debit Card
C319624,Female,18,Debit Card
C264687,Female,52,Credit Card
C140543,Male,60,Credit Card
C339391,Female,34,Debit Card
C285587,Male,47,Cash
C137134,Female,58,Cash
C103896,Female,51,Credit Card
C315479,Female,32,Debit Card
C181912,Female,23,Credit Card
C335107,Female,38,Cash
C121510,Male,63,Credit Card
C477489,Female,50,Cash
C331382,Male,64,Cash
C554087,Male,51,Cash
C226252,Male,21,Debit Card
C227695,Female,20,Cash
C246136,Male,34,Credit Card
C170928,Female,26,Debit Card
C200317,Female,19,Credit Card
C192979,Female,47,Credit Card
C198568,Male,47,Cash
C251518,Female,56,Credit Card
C215210,Male,42,Debit Card
C271571,Male,49,Cash
C303444,Female,51,Debit Card
C506925,Female,41,Cash
C294604,Male,27,Cash
C190939,Female,61,Debit Card
C129849,Female,38,Cash
C235178,Male,42,Credit Card
C267843,Male,58,Debit Card
C186861,Female,57,Cash
C219983,Male,23,Cash
C250033,Female,62,Debit Card
C506663,Male,31,Cash
C235482,Female,54,Credit Card
C781893,Male,19,Credit Card
C328444,Male,68,Cash
C307592,Male,44,Credit Card
C541983,Female,44,Credit Card
C283381,Female,29,Cash
C301099,Female,67,Credit Card
C246641,Female,28,Debit Card
C312617,Female,34,Credit Card
C204164,Male,45,Debit Card
C259798,Female,55,Debit Card
C215336,Female,69,Debit Card
C339648,Male,30,Credit Card
C290275,Female,38,Cash
C230120,Male,39,Debit Card
C478733,Female,63,Debit Card
C201255,Male,49,Cash
C289918,Female,66,Credit Card
C937123,Female,68,Cash
C322924,Male,18,Cash
C690345,Female,42,Cash
C247049,Female,54,Cash
C280253,Male,43,Credit Card
C169477,Male,54,Cash
C131819,Male,43,Credit Card
C442324,Male,44,Credit Card
C114347,Male,36,Debit Card
C216456,Female,41,Cash
C152833,Female,45,Credit Card
C171160,Female,41,Cash
C259884,Male,58,Credit Card
C114606,Female,34,Debit Card
C216025,Female,67,Cash
C884264,Male,60,Credit Card
C697667,Female,31,Cash
C136585,Female,52,Cash
C146582,Male,25,Credit Card
C129039,Female,22,Cash
C183846,Female,34,Credit Card
C297404,Male,30,Cash
C127819,Female,25,Credit Card
C127718,Female,48,Cash
C230543,Male,30,Debit Card
C302358,Female,30,Cash
C105060,Female,36,Cash
C182606,Female,52,Credit Card
C295864,Male,33,Cash
C323307,Male,69,Cash
C104350,Female,46,Cash
C282281,Female,65,Debit Card
C506887,Male,27,Cash
C528686,Female,42,Cash
C157218,Female,56,Credit Card
C172691,Female,68,Credit Card
C330221,Male,64,Credit Card
C336104,Male,59,Debit Card
C807852,Female,68,Credit Card
C128312,Male,25,Cash
C150950,Female,40,Credit Card
C305706,Female,18,Debit Card
C310310,Male,56,Cash
C414958,Female,36,Cash
C296534,Female,30,Credit Card
C234534,Female,52,Debit Card
C247694,Female,24,Debit Card
C141657,Female,30,Cash
C156233,Female,45,Cash
C354331,Male,29,Cash
C131221,Male,24,Debit Card
C123445,Female,46,Cash
C207443,Female,65,Cash
C137762,Female,26,Credit Card
C152904,Female,58,Cash
C216194,Female,45,Cash
C207415,Male,43,Debit Card
C621747,Female,25,Debit Card
C621794,Female,53,Credit Card
C218289,Female,63,Debit Card
C235878,Female,37,Credit Card
C251446,Female,68,Debit Card
C708005,Female,67,Cash
C323349,Female,29,Cash
C180375,Female,55,Cash
C254007,Male,30,Debit Card
C908169,Female,57,Cash
C587022,Male,33,Debit Card
C485257,Female,54,Cash
C196813,Female,66,Credit Card
C242182,Male,56,Debit Card
C331182,Male,30,Credit Card
C206713,Female,19,Cash
C376889,Female,22,Cash
C333202,Male,29,Debit Card
C147456,Male,44,Cash
C221830,Female,38,Credit Card
C634747,Female,32,Cash
C108986,Female,58,Credit Card
C205202,Female,55,Cash
C160680,Female,64,Credit Card
C805973,Female,45,Credit Card
C246456,Female,65,Credit Card
C293191,Female,54,Debit Card
C248510,Male,58,Cash
C102849,Female,40,Debit Card
C732384,Male,24,Debit Card
C121299,Female,60,Debit Card
C103741,Female,60,Cash
C660491,Male,66,Credit Card
C323696,Male,59,Cash
C274788,Male,69,Credit Card
C158968,Female,47,Credit Card
C289495,Male,39,Cash
C646756,Female,54,Cash
C193824,Female,67,Cash
C226996,Male,30,Cash
C276008,Female,27,Credit Card
C282899,Female,52,Cash
C323659,Female,57,Cash
C158270,Male,52,Credit Card
C170969,Male,20,Cash
C170219,Female,52,Credit Card
C111026,Female,67,Debit Card
C760307,Female,20,Cash
C183888,Female,64,Cash
C144823,Female,20,Debit Card
C211277,Female,60,Cash
C204782,Female,36,Credit Card
C184882,Female,29,Credit Card
C228532,Female,45,Cash
C315826,Female,18,Cash
C339071,Female,54,Debit Card
C219304,Male,45,Cash
C192474,Female,59,Cash
C398415,Female,49,Cash
C391672,Male,61,Cash
C275887,Female,28,Credit Card
C198086,Female,36,Cash
C822515,Female,69,Cash
C871318,Female,27,Cash
C199664,Female,30,Credit Card
C820137,Male,67,Debit Card
C521673,Male,66,Credit Card
C149637,Female,52,Cash
C743273,Male,69,Credit Card
C130273,Female,63,Debit Card
C240389,Female,20,Credit Card
C470346,Female,23,Cash
C423734,Male,47,Cash
C139077,Male,43,Cash
C842431,Male,55,Cash
C102301,Male,25,Credit Card
C222159,Female,62,Cash
C204727,Female,23,Cash
C325158,Female,48,Credit Card
C649525,Male,64,Cash
C283221,Female,50,Credit Card
C153509,Female,42,Cash
C290548,Male,43,Cash
C133134,Female,25,Credit Card
C245539,Male,66,Debit Card
C110711,Female,41,Cash
C141093,Female,37,Cash
C299644,Female,43,Credit Card
C141285,Female,19,Credit Card
C120095,Female,64,Credit Card
C130462,Female,39,Debit Card
C116092,Female,21,Credit Card
C152098,Male,51,Cash
C766767,Male,67,Cash
C322195,Male,54,Debit Card
C114713,Female,21,Cash
C189364,Male,29,Debit Card
C150584,Female,32,Debit Card
C275695,Female,55,Credit Card
C614595,Male,24,Cash
C300832,Male,37,Credit Card
C241238,Female,53,Credit Card
C182162,Female,43,Debit Card
C328169,Female,39,Credit Card
C121380,Female,37,Debit Card
C788630,Female,58,Cash
C143781,Male,28,Credit Card
C285797,Male,45,Credit Card
C174330,Female,21,Cash
C430942,Female,39,Cash
C270543,Male,23,Debit Card
C102275,Male,41,Credit Card
C841591,Female,26,Credit Card
C162681,Male,51,Debit Card
C716629,Male,49,Cash
C512978,Male,45,Cash
C289069,Male,33,Cash
C812425,Female,53,Cash
C200576,Female,32,Credit Card
C155221,Male,40,Cash
C251062,Male,60,Debit Card
C335061,Female,37,Cash
C283983,Female,56,Debit Card
C315999,Female,55,Credit Card
C987230,Male,68,Debit Card
C921649,Female,54,Credit Card
C327823,Female,56,Credit Card
C203598,Male,27,Cash
C224753,Female,41,Debit Card
C270797,Male,59,Credit Card
C249974,Male,62,Credit Card
C132495,Male,32,Credit Card
C304747,Male,47,Debit Card
C266724,Female,42,Cash
C494615,Male,33,Cash
C252265,Male,66,Credit Card
C319806,Female,55,Cash
C219548,Female,24,Credit Card
C184052,Female,64,Debit Card
C206253,Female,27,Debit Card
C249725,Female,62,Credit Card
C224881,Female,68,Debit Card
C321914,Female,62,Credit Card
C209245,Male,36,Cash
C130895,Male,64,Credit Card
C207573,Male,22,Cash
C257469,Female,26,Debit Card
C795627,Female,37,Cash
C194674,Female,47,Credit Card
C774214,Female,40,Credit Card
C120804,Female,58,Debit Card
C156004,Male,32,Cash
C596756,Female,36,Credit Card
C251433,Female,56,Debit Card
C288298,Female,41,Credit Card
C148675,Female,34,Debit Card
C270726,Female,37,Credit Card
C105474,Female,55,Credit Card
C829423,Female,25,Cash
C111251,Female,50,Cash
C269506,Male,66,Cash
C127041,Male,52,Cash
C870412,Female,24,Debit Card
C108367,Male,52,Debit Card
C191673,Male,43,Cash
C979970,Male,41,Cash
C324708,Female,28,Credit Card
C289614,Male,31,Cash
C103877,Female,41,Credit Card
C264659,Male,21,Cash
C108756,Female,45,Credit Card
C253975,Female,41,Cash
C773134,Male,42,Cash
C433673,Male,50,Credit Card
C271450,Female,42,Cash
C327098,Female,25,Credit Card
C132270,Female,39,Debit Card
C193793,Male,23,Cash
C320229,Male,67,Debit Card
C275631,Female,42,Credit Card
C462416,Female,63,Credit Card
C245407,Male,53,Credit Card
C269497,Male,32,Debit Card
C190709,Male,43,Debit Card
C291389,Female,22,Credit Card
C593370,Male,30,Debit Card
C303552,Female,20,Cash
C747740,Female,40,Credit Card
C791362,Male,61,Credit Card
C132400,Male,44,Cash
C677850,Female,55,Cash
C263908,Female,54,Credit Card
C205165,Male,23,Cash
C290106,Female,61,Cash
C174747,Male,37,Cash
C191147,Female,43,Cash
C249906,Male,33,Cash
C129846,Male,18,Cash
C155333,Female,30,Debit Card
C272155,Female,68,Debit Card
C266213,Male,34,Debit Card
C622685,Female,34,Credit Card
C832010,Female,59,Debit Card
C288597,Female,22,Debit Card
C259229,Female,30,Debit Card
C724217,Female,50,Debit Card
C913425,Female,68,Cash
C255828,Female,49,Cash
C219791,Male,38,Credit Card
